ts,pid,name,role,wsMB
07:18:11,12380,codex-vm.exe,guest,6
07:23:04,21164,codex-vm.exe,guest,399
07:23:23,27284,codex-vm.exe,guest,734
07:24:00,20320,codex-vm.exe,guest,333
07:25:26,24296,codex-vm.exe,guest,3
07:25:39,32228,codex-vm.exe,guest,509
07:25:57,26496,codex-vm.exe,guest,43
07:25:57,26660,codex-vm.exe,guest,19
07:25:57,28792,codex-vm.exe,guest,10
07:25:57,16252,codex-vm.exe,guest,10
07:25:57,27132,codex-vm.exe,guest,10
07:25:57,10696,codex-vm.exe,guest,10
07:25:57,27252,codex-vm.exe,guest,13
07:25:57,29836,codex-vm.exe,guest,10
07:26:04,31320,codex-vm.exe,guest,6
07:26:04,28472,codex-vm.exe,guest,6
07:26:04,27748,codex-vm.exe,guest,3
07:26:04,1132,codex-vm.exe,guest,3
07:26:04,14748,codex-vm.exe,guest,3
07:26:10,19560,codex-vm.exe,guest,242
07:26:10,30936,codex-vm.exe,guest,69
07:26:10,32092,codex-vm.exe,guest,70
07:26:10,18532,codex-vm.exe,guest,15
07:26:17,12840,codex-vm.exe,supervisor,6
07:26:17,30824,codex-vm.exe,supervisor,6
07:26:17,13084,codex-vm.exe,supervisor,6
07:26:17,4924,codex-vm.exe,supervisor,6
07:26:17,30668,codex-vm.exe,supervisor,6
07:26:17,15740,codex-vm.exe,guest,48
07:26:17,21792,codex-vm.exe,guest,53
07:26:17,18584,codex-vm.exe,guest,49
07:26:17,23824,codex-vm.exe,guest,53
07:26:17,18440,codex-vm.exe,guest,158
07:26:35,8980,codex-vm.exe,guest,39
07:26:35,12524,codex-vm.exe,guest,20
07:26:48,3916,codex-vm.exe,guest,10
07:26:55,26988,codex-vm.exe,guest,10
07:26:55,21916,codex-vm.exe,guest,6
07:27:08,21952,codex-vm.exe,supervisor,6
07:27:08,17476,codex-vm.exe,guest,10
07:27:57,27280,codex-vm.exe,guest,483
07:27:57,14064,codex-vm.exe,guest,444
07:27:57,15876,codex-vm.exe,guest,477
07:27:57,25152,codex-vm.exe,guest,336
07:28:04,27280,codex-vm.exe,guest,766
07:28:04,14064,codex-vm.exe,guest,702
07:28:04,15876,codex-vm.exe,guest,760
07:28:04,25152,codex-vm.exe,guest,697
07:28:10,27280,codex-vm.exe,guest,791
07:28:10,14064,codex-vm.exe,guest,813
07:28:10,15876,codex-vm.exe,guest,835
07:28:10,25152,codex-vm.exe,guest,807
07:28:16,27280,codex-vm.exe,guest,794
07:28:16,14064,codex-vm.exe,guest,816
07:28:16,15876,codex-vm.exe,guest,896
07:28:16,25152,codex-vm.exe,guest,890
07:28:23,27280,codex-vm.exe,guest,795
07:28:23,14064,codex-vm.exe,guest,830
07:28:23,15876,codex-vm.exe,guest,912
07:28:23,25152,codex-vm.exe,guest,892
07:28:29,27280,codex-vm.exe,guest,795
07:28:29,14064,codex-vm.exe,guest,830
07:28:29,15876,codex-vm.exe,guest,912
07:28:29,25152,codex-vm.exe,guest,903
07:28:35,27280,codex-vm.exe,guest,795
07:28:35,14064,codex-vm.exe,guest,831
07:28:35,15876,codex-vm.exe,guest,912
07:28:35,25152,codex-vm.exe,guest,904
07:28:41,27280,codex-vm.exe,guest,796
07:28:41,14064,codex-vm.exe,guest,831
07:28:41,15876,codex-vm.exe,guest,916
07:28:41,25152,codex-vm.exe,guest,926
07:28:48,27280,codex-vm.exe,guest,797
