ts,freeGiB,guests,guestMB,renode,renodeMB,pwsh,pwshMB,cpu
06:39:10,8.33,0,0,0,0,5,548,14
06:39:17,7.89,1,477,0,0,5,531,13
06:39:23,8.31,0,0,0,0,5,558,7
06:39:29,8.27,1,14,0,0,6,624,4
06:39:35,8.15,0,0,0,0,6,700,13
06:39:41,8.4,0,0,0,0,4,413,1
06:39:47,8.39,0,0,0,0,4,409,11
06:39:53,8.4,0,0,0,0,4,413,0
06:39:59,8.4,0,0,0,0,4,412,19
06:40:06,8.07,1,91,0,0,5,687,3
06:40:12,8.11,0,0,0,0,5,731,14
06:40:18,8.08,0,0,0,0,5,760,14
06:40:24,8.05,0,0,0,0,6,837,15
06:40:30,8.1,0,0,0,0,5,753,16
06:40:36,8.1,0,0,0,0,5,757,16
06:40:42,8.09,0,0,0,0,6,744,19
06:40:49,8.08,0,0,0,0,5,736,14
06:40:55,8.02,0,0,0,0,5,763,15
06:41:01,7.98,0,0,0,0,6,847,13
06:41:07,8.08,0,0,0,0,4,578,11
06:41:13,8.11,0,0,0,0,4,580,3
06:41:19,8.3,0,0,0,0,4,577,4
06:41:25,8.32,0,0,0,0,4,578,9
06:41:31,8,1,288,0,0,4,613,14
06:41:38,7.86,1,282,0,0,6,845,0
06:41:44,8.12,0,0,0,0,5,778,5
06:41:50,7.65,7,76,0,0,13,1563,23
06:41:56,7.73,3,25,0,0,13,1512,13
06:42:02,7.5,3,177,0,0,11,1500,2
06:42:08,7.73,10,390,0,0,5,786,10
06:42:15,8,0,0,0,0,6,920,13
06:42:21,7.65,3,47,0,0,13,1466,65
06:42:27,7.82,0,0,0,0,13,1320,66
06:42:33,7.56,4,56,0,0,14,1662,68
06:42:39,7.79,3,26,0,0,14,1400,70
06:42:46,7.42,4,39,0,0,14,1604,23
06:42:52,8.09,2,16,0,0,6,814,1
06:42:58,7.83,0,0,0,0,9,1240,71
06:43:04,7.77,0,0,0,0,10,1386,47
06:43:10,7.73,0,0,0,0,9,1358,14
06:43:16,7.72,0,0,0,0,9,1337,45
06:43:22,7.73,0,0,0,0,9,1327,25
06:43:29,7.79,0,0,0,0,9,1318,19
06:43:35,6.09,4,1776,0,0,9,1335,37
06:43:41,4.87,4,2884,0,0,10,1438,28
06:43:47,4.46,4,3269,0,0,9,1336,27
06:43:53,4.37,4,3371,0,0,9,1336,22
06:43:59,4.38,4,3375,0,0,9,1334,12
06:44:06,4.3,4,3377,0,0,11,1482,38
06:44:12,4.33,4,3400,0,0,9,1335,27
06:44:18,4.33,4,3404,0,0,9,1334,39
06:44:24,4.31,4,3410,0,0,9,1334,39
06:44:30,4.1,4,3609,0,0,9,1336,20
06:44:36,3.97,4,3682,0,0,10,1419,34
06:44:42,4.16,4,3703,0,0,10,1178,46
06:44:49,4.14,4,3717,0,0,10,1178,27
06:44:55,4.13,4,3737,0,0,10,1176,43
06:45:01,4.09,4,3767,0,0,10,1176,32
06:45:07,4.06,4,3782,0,0,10,1176,17
06:45:13,4.09,4,3788,0,0,10,1176,28
06:45:20,4.07,4,3802,0,0,10,1176,26
06:45:26,5.77,2,1977,0,0,11,1372,63
06:45:32,7.87,0,0,0,0,8,997,6
06:45:38,8.09,0,0,0,0,6,632,74
06:45:44,7.4,6,246,0,0,14,1469,80
06:45:51,7.14,4,458,0,0,13,1422,80
06:45:57,7.3,4,166,0,0,13,1450,76
06:46:03,7.27,3,222,0,0,14,1662,82
06:46:09,6.12,4,1462,0,0,14,1482,70
06:46:15,4.96,7,2522,0,0,14,1758,63
06:46:22,5.89,6,1575,0,0,14,1756,60
06:46:28,6.75,4,764,0,0,16,1750,71
06:46:34,6.33,4,1249,0,0,14,1608,76
06:46:40,5.44,6,2068,0,0,14,1745,74
06:46:46,7.37,4,418,0,0,14,1369,70
06:46:53,7.56,2,229,0,0,14,1282,68
06:46:59,7.39,4,226,0,0,14,1519,71
06:47:05,6.66,4,1070,0,0,14,1562,77
