ts,freeGiB,guests,guestMB,renode,renodeMB,pwsh,pwshMB,cpu,supervisors,supervisorMB
13:04:16,7.77,0,0,0,0,14,1521,33,0,0
13:04:22,7.7,0,0,0,0,14,1594,9,0,0
13:04:29,7.71,0,0,0,0,14,1593,1,0,0
13:04:35,7.72,0,0,0,0,14,1593,6,0,0
13:04:41,7.71,0,0,0,0,14,1593,21,0,0
13:04:47,7.75,0,0,0,0,13,1505,67,0,0
13:04:53,7.72,0,0,0,0,13,1503,3,0,0
13:04:59,7.71,0,0,0,0,13,1504,5,0,0
13:05:05,7.7,0,0,0,0,13,1503,2,0,0
13:05:12,7.76,0,0,0,0,13,1504,0,0,0
13:05:18,7.67,0,0,0,0,15,1621,7,0,0
13:05:24,7.66,0,0,0,0,14,1600,0,0,0
13:05:30,7.63,0,0,0,0,16,1695,5,0,0
13:05:36,7.57,0,0,0,0,14,1597,34,0,0
13:05:42,7.93,0,0,0,0,12,1377,1,0,0
13:05:48,7.97,0,0,0,0,12,1381,0,0,0
13:05:55,7.96,0,0,0,0,12,1395,8,0,0
13:06:01,7.95,0,0,0,0,12,1396,2,0,0
13:06:07,8,0,0,0,0,12,1380,1,0,0
13:06:13,8.01,0,0,0,0,12,1381,4,0,0
13:06:19,7.96,0,0,0,0,13,1440,4,0,0
13:06:25,7.99,0,0,0,0,12,1387,2,0,0
13:06:31,8.02,0,0,0,0,12,1381,7,0,0
13:06:37,7.82,0,0,0,0,13,1506,4,0,0
13:06:44,8.09,0,0,0,0,10,1180,15,0,0
13:06:50,7.91,0,0,0,0,10,1180,13,0,0
13:06:56,8.03,0,0,0,0,10,1183,6,0,0
13:07:02,8.04,0,0,0,0,10,1183,3,0,0
13:07:08,8.09,0,0,0,0,9,1094,29,0,0
13:07:14,8.53,0,0,0,0,7,864,0,0,0
13:07:20,8.55,0,0,0,0,7,866,11,0,0
13:07:27,8.5,0,0,0,0,7,867,7,0,0
13:07:33,8.49,0,0,0,0,7,864,5,0,0
13:07:39,8.54,0,0,0,0,7,864,1,0,0
13:07:45,8.55,0,0,0,0,7,864,2,0,0
13:07:51,8.54,0,0,0,0,7,863,0,0,0
13:07:57,8.54,0,0,0,0,7,863,5,0,0
13:08:03,8.54,0,0,0,0,7,864,5,0,0
13:08:09,8.51,0,0,0,0,8,949,19,0,0
13:08:16,8.54,0,0,0,0,7,864,20,0,0
13:08:22,8.55,0,0,0,0,7,864,0,0,0
13:08:28,8.54,0,0,0,0,8,948,3,0,0
13:08:34,8.55,0,0,0,0,7,864,13,0,0
13:08:40,8.58,0,0,0,0,7,864,1,0,0
13:08:46,8.5,0,0,0,0,9,1041,7,0,0
13:08:52,8.6,0,0,0,0,7,864,8,0,0
13:08:58,8.5,0,0,0,0,10,1098,23,0,0
13:09:04,8.59,0,0,0,0,7,864,4,0,0
13:09:11,8.6,0,0,0,0,7,864,9,0,0
13:09:17,8.59,0,0,0,0,7,864,6,0,0
13:09:23,8.59,0,0,0,0,7,864,4,0,0
13:09:29,8.48,0,0,0,0,10,1148,11,0,0
13:09:35,8.37,0,0,0,0,11,1232,21,0,0
13:09:41,8.51,0,0,0,0,8,946,1,0,0
13:09:47,8.54,0,0,0,0,8,946,3,0,0
13:09:53,8.52,0,0,0,0,8,946,2,0,0
13:09:59,8.61,0,0,0,0,7,864,6,0,0
13:10:06,8.56,0,0,0,0,8,944,6,0,0
13:10:12,8.6,0,0,0,0,7,866,4,0,0
13:10:18,8.57,0,0,0,0,8,961,10,0,0
13:10:24,8.61,0,0,0,0,7,869,7,0,0
13:10:30,8.62,0,0,0,0,7,868,2,0,0
13:10:36,8.62,0,0,0,0,7,864,1,0,0
13:10:42,8.58,0,0,0,0,8,946,40,0,0
13:10:48,8.61,0,0,0,0,7,865,55,0,0
13:10:54,8.58,0,0,0,0,8,941,41,0,0
13:11:01,8.58,0,0,0,0,9,980,1,0,0
13:11:07,8.62,0,0,0,0,7,864,2,0,0
13:11:13,8.62,0,0,0,0,7,864,9,0,0
13:11:19,8.6,0,0,0,0,7,864,0,0,0
13:11:25,8.58,0,0,0,0,8,942,2,0,0
13:11:31,8.63,0,0,0,0,7,864,3,0,0
13:11:37,8.56,0,0,0,0,9,1035,4,0,0
13:11:43,8.64,0,0,0,0,7,864,6,0,0
13:11:50,8.64,0,0,0,0,7,864,1,0,0
13:11:56,8.65,0,0,0,0,7,864,2,0,0
13:12:02,8.61,0,0,0,0,8,939,2,0,0
13:12:08,8.62,0,0,0,0,8,932,1,0,0
13:12:14,8.64,0,0,0,0,7,864,1,0,0
13:12:20,8.63,0,0,0,0,7,864,6,0,0
13:12:26,8.66,0,0,0,0,7,865,2,0,0
13:12:32,8.64,0,0,0,0,7,865,3,0,0
13:12:39,8.64,0,0,0,0,7,865,4,0,0
13:12:45,8.59,0,0,0,0,8,950,5,0,0
13:12:51,8.63,0,0,0,0,7,865,2,0,0
13:12:57,8.61,0,0,0,0,8,944,14,0,0
13:13:03,8.55,0,0,0,0,9,1053,1,0,0
13:13:09,8.63,0,0,0,0,7,865,2,0,0
13:13:15,8.62,0,0,0,0,7,865,0,0,0
13:13:21,8.61,0,0,0,0,7,865,4,0,0
13:13:27,8.64,0,0,0,0,7,865,5,0,0
13:13:34,8.66,0,0,0,0,7,865,0,0,0
13:13:40,8.64,0,0,0,0,8,939,5,0,0
13:13:46,8.66,0,0,0,0,7,865,0,0,0
13:13:52,8.65,0,0,0,0,7,864,1,0,0
13:13:58,8.61,0,0,0,0,8,947,0,0,0
13:14:04,8.64,0,0,0,0,7,864,3,0,0
13:14:10,8.54,0,0,0,0,9,1057,0,0,0
13:14:16,8.54,0,0,0,0,9,1093,11,0,0
13:14:22,8.67,0,0,0,0,7,864,2,0,0
13:14:29,8.57,0,0,0,0,10,1108,0,0,0
13:14:35,8.34,0,0,0,0,11,1233,7,0,0
13:14:41,8.44,0,0,0,0,11,1198,1,0,0
13:14:47,8.34,0,0,0,0,11,1307,7,0,0
13:14:53,7.98,1,437,0,0,11,1288,2,0,0
13:14:59,8.35,0,0,0,0,13,1434,2,0,0
13:15:05,7.39,1,975,0,0,13,1458,31,0,0
13:15:11,8.43,0,0,0,0,11,1248,17,0,0
13:15:18,8.14,0,0,0,0,12,1613,12,0,0
13:15:24,8.18,0,0,0,0,12,1608,3,0,0
13:15:30,8.2,0,0,0,0,12,1593,4,0,0
13:15:36,8.16,0,0,0,0,12,1630,5,0,0
13:15:42,8.03,1,297,0,0,11,1449,7,0,0
13:15:48,7.84,1,398,0,0,12,1605,4,0,0
13:15:54,8.63,0,0,0,0,9,1030,13,0,0
