ts,pid,name,role,wsMB
13:25:49,4340,codex-vm.exe,guest,929
13:25:56,13132,codex-vm.exe,guest,965
13:25:56,18316,codex-vm.exe,guest,863
13:25:56,2244,codex-vm.exe,guest,946
13:25:56,4340,codex-vm.exe,guest,932
13:26:02,13132,codex-vm.exe,guest,970
13:26:02,18316,codex-vm.exe,guest,1037
13:26:02,2244,codex-vm.exe,guest,992
13:26:02,4340,codex-vm.exe,guest,933
13:26:08,13132,codex-vm.exe,guest,974
13:26:08,18316,codex-vm.exe,guest,1050
13:26:08,2244,codex-vm.exe,guest,997
13:26:08,4340,codex-vm.exe,guest,937
13:26:14,13132,codex-vm.exe,guest,980
13:26:14,18316,codex-vm.exe,guest,1056
13:26:14,2244,codex-vm.exe,guest,1003
13:26:14,4340,codex-vm.exe,guest,941
13:26:20,13132,codex-vm.exe,guest,980
13:26:20,18316,codex-vm.exe,guest,1061
13:26:20,2244,codex-vm.exe,guest,1006
13:26:20,4340,codex-vm.exe,guest,947
13:26:27,13132,codex-vm.exe,guest,983
13:26:27,18316,codex-vm.exe,guest,1065
13:26:27,2244,codex-vm.exe,guest,1010
13:26:27,4340,codex-vm.exe,guest,953
13:26:33,13132,codex-vm.exe,guest,988
13:26:33,18316,codex-vm.exe,guest,1068
13:26:33,2244,codex-vm.exe,guest,1016
13:26:33,4340,codex-vm.exe,guest,953
13:26:39,13132,codex-vm.exe,guest,992
13:26:39,18316,codex-vm.exe,guest,1072
13:26:39,2244,codex-vm.exe,guest,1020
13:26:39,4340,codex-vm.exe,guest,957
13:26:45,13132,codex-vm.exe,guest,993
13:26:45,18316,codex-vm.exe,guest,1074
13:26:45,2244,codex-vm.exe,guest,1021
13:26:45,4340,codex-vm.exe,guest,958
13:26:51,13132,codex-vm.exe,guest,999
13:26:51,18316,codex-vm.exe,guest,1076
13:26:51,2244,codex-vm.exe,guest,1024
13:26:51,4340,codex-vm.exe,guest,961
13:26:58,13132,codex-vm.exe,guest,1004
13:26:58,18316,codex-vm.exe,guest,1081
13:26:58,2244,codex-vm.exe,guest,1055
13:26:58,4340,codex-vm.exe,guest,965
13:27:04,13132,codex-vm.exe,guest,1008
13:27:04,18316,codex-vm.exe,guest,1088
13:27:04,2244,codex-vm.exe,guest,1116
13:27:04,4340,codex-vm.exe,guest,969
13:27:10,18316,codex-vm.exe,guest,1092
13:27:10,2244,codex-vm.exe,guest,1119
13:27:10,4340,codex-vm.exe,guest,972
13:27:16,18316,codex-vm.exe,guest,1097
13:27:16,4340,codex-vm.exe,guest,992
13:27:22,4340,codex-vm.exe,guest,997
13:28:48,3864,codex-vm.exe,guest,370
13:29:00,13040,codex-vm.exe,guest,542
13:29:37,15276,codex-vm.exe,guest,310
13:29:43,500,codex-vm.exe,guest,408
13:30:01,13188,codex-vm.exe,guest,21
13:30:01,19252,codex-vm.exe,guest,17
13:30:01,18592,codex-vm.exe,guest,10
13:30:01,3964,codex-vm.exe,guest,10
13:30:08,10268,codex-vm.exe,guest,389
13:30:14,16720,codex-vm.exe,supervisor,6
13:30:14,4656,codex-vm.exe,supervisor,6
13:30:14,10248,codex-vm.exe,supervisor,6
13:30:14,7984,codex-vm.exe,supervisor,6
13:30:14,2920,codex-vm.exe,supervisor,6
13:30:14,2624,codex-vm.exe,supervisor,6
13:30:14,16492,codex-vm.exe,guest,30
13:30:14,18592,codex-vm.exe,guest,34
13:30:14,13564,codex-vm.exe,guest,33
13:30:14,9296,codex-vm.exe,guest,23
13:30:14,3784,codex-vm.exe,guest,18
13:30:14,15212,codex-vm.exe,guest,7
13:30:20,16472,codex-vm.exe,guest,3
13:30:32,15256,codex-vm.exe,guest,10
13:30:32,11688,codex-vm.exe,guest,10
13:30:32,9752,codex-vm.exe,guest,10
13:30:39,14212,codex-vm.exe,guest,10
13:30:39,17680,codex-vm.exe,guest,10
13:30:45,1384,codex-vm.exe,guest,14
13:30:45,17796,codex-vm.exe,guest,10
